z,symbol,name,state_298k,density_g_cm3,melting_k,boiling_k,ionization_energy_ev,electron_affinity_ev,electronegativity,atomic_radius_pm,source
1,H,Hydrogen,Gas,0.00008988,13.81,20.28,13.598,0.754,2.2,120,PubChem periodic table JSON
2,He,Helium,Gas,0.0001785,0.95,4.22,24.587,,,140,PubChem periodic table JSON
3,Li,Lithium,Solid,0.534,453.65,1615,5.392,0.618,0.98,182,PubChem periodic table JSON
4,Be,Beryllium,Solid,1.85,1560,2744,9.323,,1.57,153,PubChem periodic table JSON
5,B,Boron,Solid,2.37,2348,4273,8.298,0.277,2.04,192,PubChem periodic table JSON
6,C,Carbon,Solid,2.2670,3823,4098,11.260,1.263,2.55,170,PubChem periodic table JSON
7,N,Nitrogen,Gas,0.0012506,63.15,77.36,14.534,,3.04,155,PubChem periodic table JSON
8,O,Oxygen,Gas,0.001429,54.36,90.2,13.618,1.461,3.44,152,PubChem periodic table JSON
9,F,Fluorine,Gas,0.001696,53.53,85.03,17.423,3.339,3.98,135,PubChem periodic table JSON
10,Ne,Neon,Gas,0.0008999,24.56,27.07,21.565,,,154,PubChem periodic table JSON
11,Na,Sodium,Solid,0.97,370.95,1156,5.139,0.548,0.93,227,PubChem periodic table JSON
12,Mg,Magnesium,Solid,1.74,923,1363,7.646,,1.31,173,PubChem periodic table JSON
13,Al,Aluminum,Solid,2.70,933.437,2792,5.986,0.441,1.61,184,PubChem periodic table JSON
14,Si,Silicon,Solid,2.3296,1687,3538,8.152,1.385,1.9,210,PubChem periodic table JSON
15,P,Phosphorus,Solid,1.82,317.3,553.65,10.487,0.746,2.19,180,PubChem periodic table JSON
16,S,Sulfur,Solid,2.067,388.36,717.75,10.360,2.077,2.58,180,PubChem periodic table JSON
17,Cl,Chlorine,Gas,0.003214,171.65,239.11,12.968,3.617,3.16,175,PubChem periodic table JSON
18,Ar,Argon,Gas,0.0017837,83.8,87.3,15.760,,,188,PubChem periodic table JSON
