galaxy,radius_kpc,v_obs_kms,e_vobs_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_baryon_kms
CamB,0.16,1.99,1.5,1.86,3.75,0.0,4.185940754478018
CamB,0.41,4.84,1.5,4.24,9.47,0.0,10.375861410022784
CamB,0.57,6.79,1.5,5.61,11.76,0.0,13.029570215475259
CamB,0.73,8.87,1.5,6.77,13.72,0.0,15.299388876683931
CamB,0.9,10.9,1.5,7.77,14.8,0.0,16.715648357153245
CamB,1.06,12.9,1.5,8.44,15.24,0.0,17.420998823259247
CamB,1.22,14.7,1.5,8.64,15.11,0.0,17.405795012006777
CamB,1.47,16.8,1.5,8.08,15.9,0.0,17.835257217096704
CamB,1.79,20.1,1.5,6.91,14.91,0.0,16.433386747715762
D512-2,0.96,22.9,2.71,4.08,14.85,0.0,15.400288958328021
D512-2,1.92,33.5,2.71,6.24,21.2,0.0,22.099266956168478
D512-2,2.88,37.2,4.19,7.45,20.56,0.0,21.86815264259878
D512-2,3.83,35.9,5.98,8.09,20.08,0.0,21.64842950423887
D564-8,0.51,8.54,1.53,3.47,6.36,0.0,7.245032781154272
D564-8,1.02,15.1,1.41,5.33,8.66,0.0,10.168800322555262
D564-8,1.53,19.8,1.8,6.34,9.09,0.0,11.082585438425458
D564-8,2.04,21.9,1.82,6.86,8.75,0.0,11.118547567016117
D564-8,2.56,24.0,1.89,7.05,8.17,0.0,10.791264986089443
D564-8,3.07,25.0,2.05,7.04,7.65,0.0,10.39635032114636
D631-7,0.45,8.41,1.58,8.4,9.99,0.0,13.052206709978202
D631-7,0.9,17.8,2.22,13.51,15.52,0.0,20.57645499108143
D631-7,1.35,26.0,2.35,16.7,20.76,0.0,26.643340631384795
D631-7,1.8,30.9,2.22,18.72,21.37,0.0,28.40977472631559
D631-7,2.25,34.7,1.82,19.9,19.92,0.0,28.156995578363823
D631-7,2.69,38.8,1.81,20.61,18.76,0.0,27.869512015821158
D631-7,3.14,42.5,1.57,20.73,17.36,0.0,27.03890715247197
D631-7,3.59,45.6,1.59,20.61,16.32,0.0,26.289056658617476
D631-7,4.04,48.8,1.83,20.38,15.37,0.0,25.52609057415569
D631-7,4.49,51.8,1.91,19.9,14.49,0.0,24.616459940454476
D631-7,4.94,54.8,2.19,19.43,13.72,0.0,23.785779364990336
D631-7,5.39,56.6,2.73,18.84,13.04,0.0,22.912599154177162
D631-7,5.84,58.4,3.27,18.25,12.45,0.0,22.092193191261025
D631-7,6.29,58.5,3.95,17.65,11.93,0.0,21.303694515271285
D631-7,6.74,57.7,4.07,17.06,11.48,0.0,20.562927807099843
D631-7,7.19,57.3,3.94,16.47,11.08,0.0,19.850120906432785
DDO064,0.1,6.29,4.62,-1.13,1.96,0.0,2.262410219213129
DDO064,0.3,13.9,4.62,-2.45,6.31,0.0,6.768943787622999
DDO064,0.49,15.6,4.62,-0.64,9.67,0.0,9.691155761827378
DDO064,0.69,18.4,4.62,2.49,13.92,0.0,14.140951170271396
DDO064,0.89,22.5,4.62,1.87,15.16,0.0,15.274897708331798
DDO064,1.09,26.5,4.62,4.97,16.41,0.0,17.146107429967888
DDO064,1.29,35.3,4.62,9.29,17.34,0.0,19.671799612643476
DDO064,1.48,40.5,4.62,13.62,18.34,0.0,22.844255295369116
DDO064,1.68,44.2,4.89,16.26,19.12,0.0,25.09904380648793
DDO064,1.88,46.3,4.62,18.16,19.54,0.0,26.6757792763398
DDO064,2.08,46.4,4.62,19.64,19.1,0.0,27.395977806970134
DDO064,2.27,46.3,4.62,20.17,18.77,0.0,27.55252801468497
DDO064,2.37,46.4,6.73,20.59,18.61,0.0,27.75392224533318
DDO064,2.98,46.9,8.65,22.17,17.21,0.0,28.065868951450625
DDO154,0.49,13.8,1.6,3.74,12.31,0.0,12.865601423952167
DDO154,0.99,21.6,0.8,7.46,14.55,0.0,16.350966332299752
DDO154,1.48,28.9,0.7,10.87,12.95,0.0,16.907377088123397
DDO154,1.97,34.3,0.5,13.32,11.54,0.0,17.623677255328978
DDO154,2.47,38.2,0.4,14.77,10.18,0.0,17.938375065763342
DDO154,2.96,42.0,0.2,16.2,9.16,0.0,18.61036270468687
DDO154,3.46,44.6,0.2,17.6,8.37,0.0,19.48889170784219
DDO154,3.95,46.3,0.2,17.91,7.77,0.0,19.522832786253126
DDO154,4.44,47.4,0.3,17.48,7.29,0.0,18.93923176900267
DDO154,4.94,48.2,0.6,16.93,6.89,0.0,18.278320491773854
DDO154,5.43,47.4,0.7,16.28,6.55,0.0,17.548244926487662
DDO154,5.92,45.5,1.3,15.64,6.26,0.0,16.8462814888034
DDO161,0.6,16.0,3.53,6.82,12.59,0.0,14.318536936433135
DDO161,0.73,16.6,4.83,8.12,14.22,0.0,16.375066412079065
DDO161,0.85,18.6,2.5,9.3,15.27,0.0,17.879119105817267
DDO161,0.98,20.0,7.58,10.41,17.04,0.0,19.968217246414362
DDO161,1.07,21.4,4.03,11.27,18.03,0.0,21.26249750146958
DDO161,1.54,28.9,2.74,15.22,22.44,0.0,27.1146086086449
DDO161,2.02,32.9,2.65,18.74,24.92,0.0,31.18002565746218
DDO161,2.49,35.2,2.88,21.52,25.85,0.0,33.63529247680181
DDO161,2.96,37.6,3.05,23.28,26.01,0.0,34.90671138907245
